Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
60, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 597, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 683.9, Build City District
60, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 599, FAILED, NO_UNIT, BUILDING_STONEHENGE, NO_DISTRICT, VALUE 398.3, Unknown
60, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 699, FAILED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 97.9, Unknown
60, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 701, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 115.0, Unknown
60, 2, LOC_CITY_NAME_FUKUOKA, , , UNIT_SETTLER, Settle City Op, CONTRACT 827
60, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 877, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 700.0, Settle City Op
60, 5, LOC_CITY_NAME_MEMPHIS, , CONTRACT 877, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 700.0, Settle City Op
60, 5, LOC_CITY_NAME_SHEDET, , CONTRACT 880, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 195.0, Build City District
60, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 881, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 164.0, Build City Improvement
60, 5, LOC_CITY_NAME_MEMPHIS, , CONTRACT 881, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 164.0, Build City Improvement
60, 5, LOC_CITY_NAME_SHEDET, , CONTRACT 881, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 164.0, Build City Improvement
60, 5, LOC_CITY_NAME_SHEDET, , CONTRACT 882, SUBMITTED, NO_UNIT, BUILDING_ORACLE, NO_DISTRICT, VALUE 61.0, Seek Target Wonder
60, 6, LOC_CITY_NAME_MBANZA_KONGO, , CONTRACT 884, SUBMITTED, UNIT_SPEARMAN, NO_BUILDING, NO_DISTRICT, VALUE 176.0, Build Trigger Unit
60, 6, LOC_CITY_NAME_MBUMBI, , CONTRACT 884, SUBMITTED, UNIT_SPEARMAN, NO_BUILDING, NO_DISTRICT, VALUE 176.0, Build Trigger Unit
60, 6, LOC_CITY_NAME_MBANZA_KONGO, , CONTRACT 886, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 66.0, Build City Improvement
60, 7, PURCHASE, , , UNIT_BUILDER, Build City Improvement, CONTRACT 869
60, 7, LOC_CITY_NAME_TENOCHTITLAN, , CONTRACT 784, CANCELLED, UNIT_AZTEC_EAGLE_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 67.0, Simple Operation Attack
60, 7, LOC_CITY_NAME_TENOCHTITLAN, , CONTRACT 851, ACCEPTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 401.0, Settle City Op
60, 7, LOC_CITY_NAME_TENOCHTITLAN, , CONTRACT 869, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 370.0, Build City Improvement
60, 7, LOC_CITY_NAME_TENOCHTITLAN, , , UNIT_ARCHER, Simple Operation Attack, CONTRACT 852
60, 8, LOC_CITY_NAME_JAKARTA, , , UNIT_ARCHER, Generic Offense
60, 11, LOC_CITY_NAME_JERUSALEM, , , DISTRICT_HOLY_SITE, Build City District, CONTRACT 842
60, 16, LOC_CITY_NAME_KABUL, , CONTRACT 737, COMPLETED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 108.2, Simple Operation Attack
60, 16, LOC_CITY_NAME_KABUL, , , UNIT_ARCHER, Build City Building, CONTRACT 858
60, 16, LOC_CITY_NAME_KABUL, , CONTRACT 891, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
60, 18, LOC_CITY_NAME_AMSTERDAM, , CONTRACT 893, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_COMMERCIAL_HUB, VALUE 220.0, Build City District
60, 21, LOC_CITY_NAME_ARMAGH, , CONTRACT 894, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 65.0, Build City Improvement
60, 24, LOC_CITY_NAME_GRANADA, , , UNIT_ARCHER, Generic Offense
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 668, FAILED, UNIT_TRADER, NO_BUILDING, NO_DISTRICT, VALUE 142.0, Unknown
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 687, FAILED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 201.0, Unknown
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 689, ACCEPTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 173.0, Build City District
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 697, FAILED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Unknown
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 698, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 199.0, Unknown
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 711, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 70.0, Unknown
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 779, FAILED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 303.0, Unknown
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 844, ACCEPTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 183.0, Build City Improvement
61, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 863, ACCEPTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 101.0, Build City Improvement
61, 1, LOC_CITY_NAME_BEIJING, , , UNIT_WARRIOR, Early City Assault, CONTRACT 861
61, 1, LOC_CITY_NAME_XIAN, , CONTRACT 898, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 172.0, Build City Improvement
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 701, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 115.0, Unknown
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 725, CANCELLED, UNIT_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 169.0, Unknown
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 744, FAILED, NO_UNIT, BUILDING_WATER_MILL, NO_DISTRICT, VALUE 197.9, Unknown
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 745, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 65.0, Unknown
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 827, IN PROGRESS, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 632.0, Settle City Op
61, 2, LOC_CITY_NAME_KYOTO, , , UNIT_BUILDER, Build City Improvement, CONTRACT 865
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 899, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 51.0, Early City Assault
61, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 899, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 51.0, Early City Assault
61, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 900, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 64.0, Build City Improvement
61, 2, LOC_CITY_NAME_YOKOHAMA, , CONTRACT 900, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 64.0, Build City Improvement
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 901, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_ENCAMPMENT, VALUE 351.0, Build City District
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 903, SUBMITTED, UNIT_SPEARMAN, NO_BUILDING, NO_DISTRICT, VALUE 197.0, Build Trigger Unit
