Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
60, 1, City Defense, Started
60, 1, Operation Settle New City running
60, Settle New City, 1, , Battle line, 22:22, 1 endangered
60, 1, Settle New City, ,0, Not Ready, UNIT_SETTLER; 
60, 1, Operation Attack Enemy City running
60, Attack Enemy City, 1, , Battle line, 15:21, 1 endangered
60, 1, Attack Enemy City, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; UNIT_WARRIOR; 
60, 1, Operation Attack Barb Camp running
60, 1, Attack Barb Camp, ,0, Not Ready, 
60, 1, Operation City Defense running
60, 1, City Defense, ,0, Not Ready, 
60, 1, Operation Attack Enemy City running
60, 1, Attack Enemy City, ,0, Not Ready, 
60, 1, Operation City Defense running
60, 1, City Defense, ,0, Not Ready, 
60, 1, Naval Superiority, Started
60, 1, Settle New City, Recruiting minimums, , , UNIT_ARCHER
60, 1, Settle New City, No recruits to reach minimum, , , 
60, 1, Settle New City, No recruits to match strength, , Enemy Str: 20.0, 
60, Settle New City, 1, , Battle line, 15:23, 1 endangered
60, 1, Settle New City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_ARCHER
60, Settle New City, 1, , Battle line, 15:23, 1 endangered
60, 1, Settle New City, No recruits to reach minimum, , , 
60, 1, Settle New City, No recruits to match strength, , Enemy Str: 20.0, 
60, Settle New City, 1, , Battle line, 15:23, 1 endangered
60, 1, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
60, 1, Settle New City, Operation Protect Units, UNIT_SETTLER, Move 22 21
60, 1, Settle New City, Operation Attack Units, UNIT_ARCHER, At 9:25, Move 9:25, Attack 9:23
60, 1, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
60, 1, City Defense, No recruits to reach minimum, , , 
60, 1, City Defense, No recruits to match strength, , Enemy Str: 57.0, 
60, 1, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
60, 1, City Defense, Operation complete
60, 1, City Defense, Operation complete
60, 1, Attack Enemy City, No recruits to reach minimum, , , 
60, 1, Attack Enemy City, No recruits to match strength, , Enemy Str: 97.0, 
60, 1, Attack Enemy City, Operation Recruit, 5 units, Recruited 0, Contract for: UNIT_WARRIOR
60, 1, Attack Enemy City, Operation Protect Units, UNIT_WARRIOR, Move 10 25
60, 1, Attack Enemy City, Operation Attack Units, UNIT_ARCHER, At 23:20, Move 23:21, Attack -9999:-9999
60, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 22:20, 19:19, 22:20
60, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 23:19, 19:19, 23:19
60, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 12:25, 19:19, 12:25
60, 1, Attack Barb Camp, No recruits to reach minimum, , , 
60, 1, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
