Game Turn, Player, Action, Tech, Score
60, 1, Tech, TECH_POTTERY, 0.0, OWNED
60, 1, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 1, Tech, TECH_MINING, 0.0, OWNED
60, 1, Tech, TECH_SAILING, 0.0, OWNED
60, 1, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 1, Tech, TECH_IRRIGATION, 341.2, BOOSTED
60, 1, Tech, TECH_ARCHERY, 0.0, OWNED
60, 1, Tech, TECH_WRITING, 0.0, OWNED
60, 1, Tech, TECH_MASONRY, 879.7, RESEARCHING
60, 1, Tech, TECH_BRONZE_WORKING, 463.6, 
60, 1, Tech, TECH_THE_WHEEL, 302.6, BOOSTED
60, 1, Tech, TECH_CELESTIAL_NAVIGATION, 639.2, 
60, 1, Tech, TECH_CURRENCY, 590.2, 
60, 1, Tech, TECH_HORSEBACK_RIDING, 0.0, OWNED
60, 1, Tech, TECH_IRON_WORKING, 500.9, 
60, 1, Tech, TECH_SHIPBUILDING, 1013.1, 
60, 1, Tech, TECH_MATHEMATICS, 836.9, BOOSTED
60, 1, Tech, TECH_CONSTRUCTION, 1109.0, 
60, 1, Tech, TECH_ENGINEERING, 547.4, 
60, 1, Tech, TECH_MILITARY_TACTICS, 1562.4, 
60, 1, Tech, TECH_APPRENTICESHIP, 770.0, 
60, 1, Tech, TECH_MACHINERY, 1700.0, 
60, 1, Tech, TECH_EDUCATION, 2263.8, 
60, 1, Tech, TECH_STIRRUPS, 215.9, 
60, 1, Tech, TECH_MILITARY_ENGINEERING, 2070.3, 
60, 1, Tech, TECH_CASTLES, 3133.3, GOAL
60, 1, Tech, TECH_CARTOGRAPHY, 1604.1, 
60, 1, Tech, TECH_SQUARE_RIGGING, -7381.7, 
60, 1, Contract 212
60, 1, Contract 742
60, 1, Contract 826
60, 1, Contract 862
60, 2, Tech, TECH_POTTERY, 0.0, OWNED
60, 2, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 2, Tech, TECH_MINING, 0.0, OWNED
60, 2, Tech, TECH_SAILING, 0.0, OWNED
60, 2, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 2, Tech, TECH_IRRIGATION, 0.0, OWNED
60, 2, Tech, TECH_ARCHERY, 0.0, OWNED
60, 2, Tech, TECH_WRITING, 0.0, OWNED
60, 2, Tech, TECH_MASONRY, 699.0, BOOSTED
60, 2, Tech, TECH_BRONZE_WORKING, 1157.5, RESEARCHING
60, 2, Tech, TECH_THE_WHEEL, 0.0, OWNED
60, 2, Tech, TECH_CELESTIAL_NAVIGATION, 597.6, 
60, 2, Tech, TECH_CURRENCY, 312.2, 
60, 2, Tech, TECH_HORSEBACK_RIDING, 278.1, BOOSTED
60, 2, Tech, TECH_IRON_WORKING, 1205.4, 
60, 2, Tech, TECH_SHIPBUILDING, 913.7, 
60, 2, Tech, TECH_MATHEMATICS, 482.7, 
60, 2, Tech, TECH_CONSTRUCTION, 1156.5, 
60, 2, Tech, TECH_ENGINEERING, 270.2, 
60, 2, Tech, TECH_MILITARY_TACTICS, 1325.4, 
60, 2, Tech, TECH_APPRENTICESHIP, 734.1, 
60, 2, Tech, TECH_MACHINERY, 2607.9, GOAL
60, 2, Tech, TECH_EDUCATION, 1822.5, 
60, 2, Tech, TECH_STIRRUPS, 397.2, 
60, 2, Tech, TECH_MILITARY_ENGINEERING, 2209.7, 
60, 2, Tech, TECH_CASTLES, 2223.5, 
60, 2, Tech, TECH_CARTOGRAPHY, 1444.2, 
60, 2, Tech, TECH_SQUARE_RIGGING, -7641.1, 
60, 2, Contract 226
60, 2, Contract 669
60, 2, Contract 794
60, 2, Contract 847
60, 3, Tech, TECH_POTTERY, 0.0, OWNED
60, 3, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
60, 3, Tech, TECH_MINING, 0.0, OWNED
60, 3, Tech, TECH_SAILING, 0.0, OWNED
60, 3, Tech, TECH_ASTROLOGY, 0.0, OWNED
60, 3, Tech, TECH_IRRIGATION, 586.5, BOOSTED
60, 3, Tech, TECH_ARCHERY, 0.0, OWNED
60, 3, Tech, TECH_WRITING, 0.0, OWNED
60, 3, Tech, TECH_MASONRY, 470.5, 
60, 3, Tech, TECH_BRONZE_WORKING, 374.2, BOOSTED
60, 3, Tech, TECH_THE_WHEEL, 0.0, OWNED
60, 3, Tech, TECH_CELESTIAL_NAVIGATION, 583.9, 
60, 3, Tech, TECH_CURRENCY, 305.1, 
60, 3, Tech, TECH_HORSEBACK_RIDING, 450.2, RESEARCHING
60, 3, Tech, TECH_IRON_WORKING, 390.6, 
60, 3, Tech, TECH_SHIPBUILDING, 841.7, 
60, 3, Tech, TECH_MATHEMATICS, 437.6, 
60, 3, Tech, TECH_CONSTRUCTION, 1069.4, 
60, 3, Tech, TECH_ENGINEERING, 243.2, 
60, 3, Tech, TECH_MILITARY_TACTICS, 790.4, 
60, 3, Tech, TECH_APPRENTICESHIP, 945.4, BOOSTED
60, 3, Tech, TECH_MACHINERY, 953.2, 
60, 3, Tech, TECH_EDUCATION, 2156.2, 
60, 3, Tech, TECH_STIRRUPS, 545.0, 
60, 3, Tech, TECH_MILITARY_ENGINEERING, 2018.6, 
60, 3, Tech, TECH_CASTLES, 2023.8, GOAL
