Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
60, 2, Wander, , , UNIT_WARRIOR (131073), Move To: 66 19
60, 2, Wander, , , UNIT_WARRIOR (589826), Move To: 67 16
60, 2, Wander, , , UNIT_WARRIOR (327683), Move To: 66 17
60, 2, Wander, , , UNIT_WARRIOR (786437), Move To: 68 18
60, 2, Wander, , , UNIT_ARCHER (655367), Move To: 69 18
60, 2, HL: Move To Safety, , , UNIT_SCOUT (524294), Move To: 70 30
60, 2, HL: Explore, , , UNIT_SCOUT (196608), Move To: 55 17
60, 2, HL: Explore, , , UNIT_SCOUT (196608), Move To: 56 16
60, 2, HL: End Turn, , , UNIT_SCOUT (196608)
60, 4, HL: Explore cur region, , , UNIT_SCOUT (196608), Move To: 13 50
60, 4, HL: Explore fallback, , , UNIT_SCOUT (524292), Move To: 13 46
60, 4, HL: End Turn, , , UNIT_SCOUT (196608)
60, 4, HL: End Turn, , , UNIT_SCOUT (524292)
60, 5, HL: Explore fallback, , , UNIT_SCOUT (196608), Move To: 51 41
60, 5, HL: Explore fallback, , , UNIT_SCOUT (262146), Move To: 47 35
60, 5, HL: End Turn, , , UNIT_SCOUT (196608)
60, 5, HL: End Turn, , , UNIT_SCOUT (262146)
60, 8, Wander, , , UNIT_SLINGER (262144), Move To: 15 18
60, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 13 19
60, 8, Wander, , , UNIT_ARCHER (720899), Move To: 11 24
60, 8, Wander, , , UNIT_ARCHER (524294), Move To: 13 23
60, 8, Wander, , , UNIT_ARCHER (589831), Move To: 12 26
60, 8, Wander, , , UNIT_ARCHER (655368), Move To: 14 19
60, 8, Wander, , , UNIT_ARCHER (786441), Move To: 11 22
60, 8, Wander, , , UNIT_ARCHER (851978), Move To: 11 20
60, 9, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_SCOUT (2097183), UNIT_WARRIOR (131073), Expected Damage: 0, Move 60 9 Attack -9999 -9999
60, 9, Heal, , , UNIT_WARRIOR (327683), 
60, 9, Wander, , , UNIT_WARRIOR (589824), Move To: 57 8
60, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 58 11
60, 9, Wander, , , UNIT_WARRIOR (458756), Move To: 55 9
60, 9, Wander, , , UNIT_WARRIOR (524293), Move To: 54 11
60, 10, Wander, , , UNIT_ARCHER (458752), Move To: 16 18
60, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 20 17
60, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 14 21
60, 10, Wander, , , UNIT_ARCHER (524292), Move To: 16 21
60, 10, Wander, , , UNIT_ARCHER (655366), Move To: 16 17
60, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 64 24
60, 11, Wander, , , UNIT_ARCHER (327683), Move To: 65 20
60, 11, Wander, , , UNIT_ARCHER (393220), Move To: 67 23
60, 11, Wander, , , UNIT_ARCHER (458757), Move To: 66 21
60, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 67 13
60, 12, Wander, , , UNIT_ARCHER (393219), Move To: 63 17
60, 13, Heal, , , UNIT_WARRIOR (196610), 
60, 13, Wander, , , UNIT_SLINGER (262144), Move To: 78 29
60, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 76 27
60, 13, Wander, , , UNIT_ARCHER (458756), Move To: 77 26
60, 13, Wander, , , UNIT_ARCHER (524293), Move To: 77 25
60, 14, Wander, , , UNIT_WARRIOR (524289), Move To: 75 15
60, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 74 15
60, 14, Wander, , , UNIT_ARCHER (786435), Move To: 76 13
60, 14, Wander, , , UNIT_WARRIOR (458756), Move To: 74 16
60, 14, Wander, , , UNIT_WARRIOR (655365), Move To: 77 13
60, 14, Wander, , , UNIT_ARCHER (720902), Move To: 77 16
