Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
060, LOC_CIVILIZATION_AMERICA_NAME, UNIT_WARRIOR (524292), 8, 23, -9999, -9999, 2833, ffffffff
060, LOC_CIVILIZATION_AMERICA_NAME, UNIT_WARRIOR (851975), 9, 23, -9999, -9999, 2833, ffffffff
060, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_WARRIOR (7667828), 23, 23, -9999, -9999, 2833, ffffffff
060, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_ARCHER (7995513), 22, 23, -9999, -9999, 2833, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_BUILDER (524289), 12, 24, -9999, -9999, 2325, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (655362), 23, 19, -9999, -9999, 2325, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (327683), 12, 25, -9999, -9999, 2325, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (393220), 10, 23, -9999, -9999, 2325, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (720901), 22, 20, -9999, -9999, 2325, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_ARCHER (589830), 23, 20, -9999, -9999, 2325, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_SETTLER (786439), 23, 22, -9999, -9999, 2325, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_ARCHER (851976), 9, 25, -9999, -9999, 2325, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_SETTLER (786439), 23, 22, 22, 24, 276, 1cddc22c
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_SETTLER (786439), 23, 22, 18, 30, 276, eb506b4e
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_SETTLER (786439), 23, 22, 22, 21, 256, a24451e3
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_SETTLER (786439), 23, 22, 22, 21, 256, a24451e3
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (393220), 10, 23, 10, 25, 256, 6d778381
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (393220), 10, 23, 10, 25, 256, 6d778381
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (393220), 11, 24, 10, 25, 0, 7ade7055
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (393220), 11, 24, 10, 25, 0, 7ade7055
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_ARCHER (589830), 23, 20, 23, 21, 256, 5cd833ff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_ARCHER (589830), 23, 20, 23, 21, 256, 5cd833ff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (720901), 22, 20, 19, 19, 4353, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (720901), 22, 20, 19, 19, 4353, ffffffff
060, LOC_CIVILIZATION_CHINA_NAME, UNIT_WARRIOR (655362), 23, 19, 19, 19, 4353, ffffffff
