Game Turn, Initiator, Recipient, Action, Details, Mayhem, Visibility
60, 2, 9, Met, ,  239.0, 0
60, 9, 2, Met, ,  239.0, 0
60, 3, 1, Promise Refused, Settle,  239.0, 0
60, 4, 7, Promise Made, Settle,  240.0, 1
60, 5, 21, Gave Influence, ,  240.0, 0
60, 19, 4, Met, ,  241.5, 0
60, 4, 19, Met, ,  241.5, 0
61, 4, 7, Friendship Ends, ,  244.0, 1
61, 4, 1, Met, ,  246.0, 0
61, 1, 4, Met, ,  246.0, 0
61, 4, 8, Met, ,  246.0, 0
61, 8, 4, Met, ,  246.0, 0
64, 4, 1, Deal Proposed, 0 Open Borders for 30 turns from 1 to 4; 1 Gold for 30 turns from 4 to 1; ,  280.5, 0
64, 1, 4, Deal Accepted, 0 Open Borders for 30 turns from 1 to 4; 1 Gold for 30 turns from 4 to 1; ,  280.5, 0
65, 0, 4, Friendship Ends, ,  289.5, 0
65, 5, 21, Gave Influence, ,  291.0, 0
66, 5, 17, At War, Surprise,  299.5, 0
66, 21, 17, At War, Suzerain War,  303.5, 0
68, 3, 1, Deal Proposed, 0 Peace for 20 turns from 3 to 1; 0 Peace for 20 turns from 1 to 3; 34 Gold for 0 turns from 3 to 1; 5 Gold for 30 turns from 3 to 1; ,  327.5, 0
68, 3, 1, Deal Accepted, 0 Peace for 20 turns from 3 to 1; 0 Peace for 20 turns from 1 to 3; ,  327.5, 0
68, 3, 1, Peace, ,  327.5, 0
68, 1, 3, Deal Rejected, 0 Peace for 20 turns from 3 to 1; 0 Peace for 20 turns from 1 to 3; ,  327.5, 0
69, 1, 20, Met, ,  332.5, 0
69, 20, 1, Met, ,  332.5, 0
70, 7, 4, Promise Made, Settle,  348.5, 1
71, 0, 4, Promise Broken, Settle,  355.0, 0
71, 1, 4, Deal Proposed, 0 Open Borders for 30 turns from 4 to 1; 1 Gold for 30 turns from 1 to 4; ,  355.0, 0
71, 4, 1, Deal Accepted, 0 Open Borders for 30 turns from 4 to 1; 1 Gold for 30 turns from 1 to 4; ,  355.0, 0
71, 4, 1, Delegation, ,  355.0, 0
72, 0, 17, Peace, ,  370.5, 0
72, 1, 17, Peace, ,  370.5, 0
72, 2, 17, Peace, ,  370.5, 0
72, 3, 17, Peace, ,  370.5, 0
72, 4, 17, Peace, ,  370.5, 0
72, 5, 17, Peace, ,  370.5, 0
72, 6, 17, Peace, ,  370.5, 0
72, 7, 17, Peace, ,  370.5, 0
72, 8, 17, Peace, ,  370.5, 0
72, 9, 17, Peace, ,  370.5, 0
72, 10, 17, Peace, ,  370.5, 0
72, 11, 17, Peace, ,  370.5, 0
72, 12, 17, Peace, ,  370.5, 0
72, 13, 17, Peace, ,  370.5, 0
72, 14, 17, Peace, ,  370.5, 0
72, 15, 17, Peace, ,  370.5, 0
72, 16, 17, Peace, ,  370.5, 0
72, 18, 17, Peace, ,  370.5, 0
72, 19, 17, Peace, ,  370.5, 0
72, 20, 17, Peace, ,  370.5, 0
72, 21, 17, Peace, ,  370.5, 0
72, 22, 17, Peace, ,  370.5, 0
72, 23, 17, Peace, ,  370.5, 0
72, 24, 17, Peace, ,  370.5, 0
72, 25, 17, Peace, ,  370.5, 0
72, 63, 17, Peace, ,  370.5, 0
72, 5, 17, City Capture, LOC_CITY_NAME_MOHENJO_DARO,  373.5, 0
74, 15, 11, Met, ,  386.0, 0
74, 11, 15, Met, ,  386.0, 0
75, 0, 22, Gave Influence, ,  388.5, 1
75, 0, 22, Gave Influence, ,  388.5, 1
75, 1, 4, Delegation, ,  388.5, 0
76, 3, 1, Promise Kept, Settle,  392.0, 0
76, 3, 8, Gave Influence, ,  392.0, 0
76, 3, 8, Gave Influence, ,  392.0, 0
78, 14, 12, Met, ,  400.0, 0
78, 12, 14, Met, ,  400.0, 0
79, 0, 4, Delegation, ,  404.0, 0
79, 6, 9, Gave Influence, ,  405.0, 0
80, 0, 1, Met, ,  407.5, 0
80, 1, 0, Met, ,  407.5, 0
80, 2, 11, Gave Influence, ,  407.5, 0
81, 3, 1, Delegation, ,  412.5, 0
82, 5, 24, Gave Influence, ,  416.5, 0
85, 1, 0, Denounced, ,  424.0, 0
85, 2, 6, Met, ,  425.0, 0
85, 6, 2, Met, ,  425.0, 0
85, 2, 11, Gave Influence, ,  425.0, 0
85, 6, 2, Deal Proposed, 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 0 Open Borders for 30 turns from 6 to 2; 16 Gold for 0 turns from 6 to 2; 3 Gold for 30 turns from 6 to 2; ,  425.0, 0
85, 6, 2, Deal Closed, 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 0 Open Borders for 30 turns from 6 to 2; 16 Gold for 0 turns from 6 to 2; 3 Gold for 30 turns from 6 to 2; ,  425.0, 0
85, 2, 6, Deal Rejected, 1 RESOURCE_CITRUS for 30 turns from 2 to 6; 0 Open Borders for 30 turns from 6 to 2; 16 Gold for 0 turns from 6 to 2; 3 Gold for 30 turns from 6 to 2; ,  425.0, 0
85, 12, 9, Met, ,  426.0, 0
85, 9, 12, Met, ,  426.0, 0
87, 20, 18, Met, ,  433.0, 0
87, 18, 20, Met, ,  433.0, 0
89, 0, 22, Gave Influence, ,  438.5, 1
90, 4, 7, Promise Kept, Settle,  439.0, 1
91, 2, 9, Gave Influence, ,  442.5, 0
91, 2, 9, Gave Influence, ,  442.5, 0
