Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
60, Token used by 5, 5, 21, 2
65, Token used by 5, 5, 21, 3
65, Unique Bonus received by 5, 5, 21, 3
75, Token used by 0, 0, 22, 2
75, Token used by 0, 0, 22, 3
75, Unique Bonus received by 0, 0, 22, 3
76, Token used by 3, 3, 8, 2
79, Token used by 6, 6, 9, 2
80, Token used by 2, 2, 11, 2
82, Token used by 5, 5, 24, 2
85, Token used by 2, 2, 11, 3
85, Unique Bonus received by 2, 2, 11, 3
89, Token used by 0, 0, 22, 4
91, Token used by 2, 2, 9, 2
