Game Turn, Player, Action, Belief, City
72, 5, Found Religion, RELIGION_HINDUISM, N/A
72, 5, Add belief to LOC_RELIGION_HINDUISM, BELIEF_SYNAGOGUE, N/A
72, 0, Adopt Religion, N/A, LOC_CITY_NAME_ROME
72, 0, Adopt Religion, N/A, LOC_CITY_NAME_ANTIUM
72, 1, Adopt Religion, N/A, LOC_CITY_NAME_XIAN
72, 1, Adopt Religion, N/A, LOC_CITY_NAME_BEIJING
72, 2, Adopt Religion, N/A, LOC_CITY_NAME_KYOTO
72, 2, Adopt Religion, N/A, LOC_CITY_NAME_FUKUOKA
72, 2, Adopt Religion, N/A, LOC_CITY_NAME_YOKOHAMA
72, 3, Adopt Religion, N/A, LOC_CITY_NAME_WASHINGTON
72, 3, Adopt Religion, N/A, LOC_CITY_NAME_PHILADELPHIA
72, 4, Adopt Religion, N/A, LOC_CITY_NAME_MADRID
72, 4, Adopt Religion, N/A, LOC_CITY_NAME_BARCELONA
72, 4, Adopt Religion, N/A, LOC_CITY_NAME_VALENCIA
72, 5, Adopt Religion, N/A, LOC_CITY_NAME_RA_KEDET
72, 5, Adopt Religion, N/A, LOC_CITY_NAME_MEMPHIS
72, 5, Adopt Religion, N/A, LOC_CITY_NAME_SHEDET
72, 5, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
72, 6, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
72, 6, Adopt Religion, N/A, LOC_CITY_NAME_MBUMBI
72, 7, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
72, 7, Adopt Religion, N/A, LOC_CITY_NAME_TEOTIHUACAN
72, 8, Adopt Religion, N/A, LOC_CITY_NAME_JAKARTA
72, 9, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
72, 10, Adopt Religion, N/A, LOC_CITY_NAME_ZANZIBAR
72, 11, Adopt Religion, N/A, LOC_CITY_NAME_JERUSALEM
72, 12, Adopt Religion, N/A, LOC_CITY_NAME_VALLETTA
72, 13, Adopt Religion, N/A, LOC_CITY_NAME_PRESLAV
72, 14, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
72, 15, Adopt Religion, N/A, LOC_CITY_NAME_CARTHAGE
72, 16, Adopt Religion, N/A, LOC_CITY_NAME_KABUL
72, 18, Adopt Religion, N/A, LOC_CITY_NAME_AMSTERDAM
72, 19, Adopt Religion, N/A, LOC_CITY_NAME_PALENQUE
72, 20, Adopt Religion, N/A, LOC_CITY_NAME_STOCKHOLM
72, 21, Adopt Religion, N/A, LOC_CITY_NAME_ARMAGH
72, 22, Adopt Religion, N/A, LOC_CITY_NAME_KANDY
72, 23, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
72, 24, Adopt Religion, N/A, LOC_CITY_NAME_GRANADA
72, 25, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
72, 5, Add belief to LOC_RELIGION_HINDUISM, BELIEF_MISSIONARY_ZEAL, N/A
72, 0, Adopt Religion, N/A, LOC_CITY_NAME_ROME
72, 0, Adopt Religion, N/A, LOC_CITY_NAME_ANTIUM
72, 1, Adopt Religion, N/A, LOC_CITY_NAME_XIAN
72, 1, Adopt Religion, N/A, LOC_CITY_NAME_BEIJING
72, 2, Adopt Religion, N/A, LOC_CITY_NAME_KYOTO
72, 2, Adopt Religion, N/A, LOC_CITY_NAME_FUKUOKA
72, 2, Adopt Religion, N/A, LOC_CITY_NAME_YOKOHAMA
72, 3, Adopt Religion, N/A, LOC_CITY_NAME_WASHINGTON
72, 3, Adopt Religion, N/A, LOC_CITY_NAME_PHILADELPHIA
72, 4, Adopt Religion, N/A, LOC_CITY_NAME_MADRID
72, 4, Adopt Religion, N/A, LOC_CITY_NAME_BARCELONA
72, 4, Adopt Religion, N/A, LOC_CITY_NAME_VALENCIA
72, 5, Adopt Religion, N/A, LOC_CITY_NAME_RA_KEDET
72, 5, Adopt Religion, N/A, LOC_CITY_NAME_MEMPHIS
72, 5, Adopt Religion, N/A, LOC_CITY_NAME_SHEDET
72, 5, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
72, 6, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
72, 6, Adopt Religion, N/A, LOC_CITY_NAME_MBUMBI
72, 7, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
72, 7, Adopt Religion, N/A, LOC_CITY_NAME_TEOTIHUACAN
72, 8, Adopt Religion, N/A, LOC_CITY_NAME_JAKARTA
72, 9, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
72, 10, Adopt Religion, N/A, LOC_CITY_NAME_ZANZIBAR
72, 11, Adopt Religion, N/A, LOC_CITY_NAME_JERUSALEM
72, 12, Adopt Religion, N/A, LOC_CITY_NAME_VALLETTA
72, 13, Adopt Religion, N/A, LOC_CITY_NAME_PRESLAV
72, 14, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
72, 15, Adopt Religion, N/A, LOC_CITY_NAME_CARTHAGE
72, 16, Adopt Religion, N/A, LOC_CITY_NAME_KABUL
72, 18, Adopt Religion, N/A, LOC_CITY_NAME_AMSTERDAM
72, 19, Adopt Religion, N/A, LOC_CITY_NAME_PALENQUE
72, 20, Adopt Religion, N/A, LOC_CITY_NAME_STOCKHOLM
72, 21, Adopt Religion, N/A, LOC_CITY_NAME_ARMAGH
72, 22, Adopt Religion, N/A, LOC_CITY_NAME_KANDY
72, 23, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
72, 24, Adopt Religion, N/A, LOC_CITY_NAME_GRANADA
72, 25, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
86, 2, Found Religion, RELIGION_BUDDHISM, N/A
86, 2, Add belief to LOC_RELIGION_BUDDHISM, BELIEF_STUPA, N/A
86, 0, Adopt Religion, N/A, LOC_CITY_NAME_ROME
86, 0, Adopt Religion, N/A, LOC_CITY_NAME_ANTIUM
86, 1, Adopt Religion, N/A, LOC_CITY_NAME_XIAN
86, 1, Adopt Religion, N/A, LOC_CITY_NAME_BEIJING
86, 2, Adopt Religion, N/A, LOC_CITY_NAME_KYOTO
86, 2, Adopt Religion, N/A, LOC_CITY_NAME_FUKUOKA
86, 2, Adopt Religion, N/A, LOC_CITY_NAME_YOKOHAMA
86, 3, Adopt Religion, N/A, LOC_CITY_NAME_WASHINGTON
86, 3, Adopt Religion, N/A, LOC_CITY_NAME_PHILADELPHIA
86, 3, Adopt Religion, N/A, LOC_CITY_NAME_BOSTON
86, 4, Adopt Religion, N/A, LOC_CITY_NAME_MADRID
86, 4, Adopt Religion, N/A, LOC_CITY_NAME_BARCELONA
86, 4, Adopt Religion, N/A, LOC_CITY_NAME_VALENCIA
86, 5, Adopt Religion, N/A, LOC_CITY_NAME_RA_KEDET
86, 5, Adopt Religion, N/A, LOC_CITY_NAME_MEMPHIS
86, 5, Adopt Religion, N/A, LOC_CITY_NAME_SHEDET
86, 5, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
86, 6, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
86, 6, Adopt Religion, N/A, LOC_CITY_NAME_MBUMBI
86, 6, Adopt Religion, N/A, LOC_CITY_NAME_MPINDA
86, 7, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
86, 7, Adopt Religion, N/A, LOC_CITY_NAME_TEOTIHUACAN
