Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
60, CIVILIZATION_CHINA, 2, 8, 8, 4, 6, 0, 0, 0, 21, 2, 85, 28, 13, 4, 16, 2, 19, 25, 21, 10, 2, 7, 0, 0
60, CIVILIZATION_JAPAN, 3, 10, 9, 5, 7, 0, 0, 0, 30, 6, 222, 186, 12, 7, 21, 3, 23, 33, 30, 12, 1, 9, 0, 2
60, CIVILIZATION_AMERICA, 2, 6, 8, 5, 5, 0, 0, 0, 22, 8, 216, 25, 9, 9, 9, 2, 22, 16, 22, 14, 1, 5, 0, 0
60, CIVILIZATION_SPAIN, 2, 5, 7, 4, 5, 0, 0, 1, 19, 2, 260, 103, 6, 2, 12, 2, 18, 14, 19, 10, 1, 4, 0, 0
60, CIVILIZATION_EGYPT, 3, 7, 6, 8, 8, 0, 0, 1, 29, 3, 72, 327, 7, 7, 12, 8, 16, 20, 29, 12, 1, 6, 0, 0
60, CIVILIZATION_KONGO, 2, 5, 8, 6, 4, 0, 0, 0, 20, 2, 150, 53, 10, 7, 6, 2, 17, 15, 20, 14, 1, 4, 0, 0
60, CIVILIZATION_AZTEC, 2, 4, 8, 3, 3, 0, 0, 0, 18, 0, 235, 3, 5, 2, 11, 1, 13, 10, 18, 10, 1, 3, 0, 0
60, CIVILIZATION_JAKARTA, 1, 4, 7, 5, 8, 0, 0, 0, 8, 1, 194, 14, 6, 4, 8, 1, 6, 10, 8, 13, 0, 3, 5, 0
60, CIVILIZATION_HATTUSA, 1, 4, 7, 5, 6, 0, 0, 0, 7, 4, 337, 0, 7, 4, 5, 0, 6, 10, 7, 15, 1, 3, 0, 0
60, CIVILIZATION_ZANZIBAR, 1, 3, 8, 5, 5, 0, 0, 0, 8, 5, 167, 0, 5, 4, 10, 0, 6, 7, 8, 12, 1, 2, 4, 0
60, CIVILIZATION_JERUSALEM, 1, 5, 8, 5, 5, 0, 0, 0, 7, 0, 188, 0, 5, 4, 4, 0, 3, 13, 7, 12, 0, 5, 0, 0
60, CIVILIZATION_VALLETTA, 1, 6, 10, 5, 3, 0, 0, 0, 8, 5, 75, 1, 5, 4, 7, 0, 4, 20, 8, 13, 0, 5, 4, 0
60, CIVILIZATION_PRESLAV, 1, 7, 9, 4, 5, 0, 0, 0, 7, 5, 138, 0, 6, 2, 5, 0, 1, 22, 7, 11, 0, 7, 0, 0
60, CIVILIZATION_LISBON, 1, 4, 7, 5, 6, 0, 0, 0, 7, 4, 200, 0, 4, 4, 5, 0, 5, 11, 7, 13, 0, 3, 0, 0
60, CIVILIZATION_CARTHAGE, 1, 6, 8, 4, 3, 0, 0, 0, 7, 3, 263, 0, 5, 4, 4, 0, 2, 15, 7, 13, 0, 5, 0, 0
60, CIVILIZATION_KABUL, 1, 4, 8, 5, 5, 0, 0, 0, 7, 3, 314, 0, 4, 4, 5, 0, 4, 10, 7, 13, 0, 3, 0, 0
60, CIVILIZATION_MOHENJO_DARO, 1, 7, 8, 6, 4, 0, 0, 0, 7, 3, 36, 0, 6, 2, 7, 0, 2, 17, 7, 11, 0, 7, 0, 0
60, CIVILIZATION_AMSTERDAM, 1, 7, 7, 5, 5, 0, 0, 0, 7, 2, 293, 0, 6, 4, 5, 0, 3, 20, 7, 13, 0, 7, 0, 0
60, CIVILIZATION_PALENQUE, 1, 6, 10, 5, 3, 0, 0, 0, 8, 5, 117, 0, 7, 4, 5, 0, 4, 17, 8, 13, 1, 6, 0, 0
60, CIVILIZATION_STOCKHOLM, 1, 6, 8, 5, 6, 0, 0, 0, 7, 3, 130, 0, 6, 4, 8, 0, 5, 12, 7, 13, 1, 6, 4, 0
60, CIVILIZATION_ARMAGH, 1, 3, 6, 5, 6, 0, 0, 0, 8, 5, 314, 101, 4, 3, 5, 3, 6, 8, 8, 15, 1, 2, 0, 0
60, CIVILIZATION_KANDY, 1, 3, 8, 5, 7, 0, 0, 0, 8, 3, 246, 33, 4, 4, 13, 1, 3, 7, 8, 12, 1, 2, 0, 0
60, CIVILIZATION_KUMASI, 1, 2, 7, 5, 4, 0, 0, 0, 7, 3, 308, 0, 3, 3, 5, 0, 4, 4, 7, 13, 0, 1, 0, 0
60, CIVILIZATION_GRANADA, 1, 5, 9, 5, 4, 0, 0, 0, 7, 6, 78, 7, 5, 4, 7, 1, 5, 13, 7, 13, 0, 5, 5, 0
60, CIVILIZATION_BRUSSELS, 1, 5, 6, 6, 3, 0, 0, 0, 7, 3, 88, 0, 5, 5, 13, 0, 4, 13, 7, 13, 0, 5, 8, 0
61, CIVILIZATION_ROME, 1, 7, 8, 7, 2, 0, 0, 0, 14, 8, 317, 34, 7, 7, 36, 4, 11, 20, 14, 13, 1, 6, 5, 0
61, CIVILIZATION_CHINA, 2, 8, 8, 5, 6, 0, 0, 0, 21, 2, 98, 30, 13, 4, 16, 2, 19, 25, 21, 10, 2, 7, 0, 0
61, CIVILIZATION_JAPAN, 3, 11, 10, 5, 7, 0, 0, 0, 31, 6, 240, 192, 12, 8, 20, 6, 24, 35, 31, 12, 2, 10, 0, 2
61, CIVILIZATION_AMERICA, 2, 6, 8, 5, 4, 0, 0, 0, 23, 8, 223, 28, 9, 9, 9, 2, 22, 16, 23, 14, 1, 5, 0, 0
61, CIVILIZATION_SPAIN, 2, 5, 7, 4, 5, 0, 0, 1, 19, 3, 267, 105, 6, 2, 15, 2, 18, 14, 19, 10, 1, 4, 0, 0
61, CIVILIZATION_EGYPT, 3, 7, 7, 8, 8, 0, 0, 1, 29, 3, 82, 335, 7, 7, 12, 8, 17, 21, 29, 12, 1, 6, 2, 0
61, CIVILIZATION_KONGO, 2, 5, 8, 6, 4, 0, 0, 0, 20, 2, 154, 55, 10, 7, 6, 2, 17, 15, 20, 14, 1, 4, 0, 0
61, CIVILIZATION_AZTEC, 2, 4, 8, 3, 3, 0, 0, 0, 18, 0, 8, 4, 5, 2, 10, 1, 16, 9, 18, 10, 1, 3, 0, 0
61, CIVILIZATION_JAKARTA, 1, 4, 7, 5, 9, 0, 0, 0, 8, 1, 202, 15, 6, 4, 8, 1, 6, 10, 8, 13, 0, 3, 5, 0
61, CIVILIZATION_HATTUSA, 1, 4, 7, 5, 6, 0, 0, 0, 7, 4, 340, 0, 7, 4, 5, 0, 6, 10, 7, 15, 1, 3, 0, 0
61, CIVILIZATION_ZANZIBAR, 1, 3, 8, 5, 5, 0, 0, 0, 8, 5, 177, 0, 5, 4, 10, 0, 6, 7, 8, 12, 1, 2, 4, 0
61, CIVILIZATION_JERUSALEM, 1, 5, 8, 5, 6, 0, 0, 0, 7, 0, 193, 0, 5, 4, 4, 0, 4, 12, 7, 12, 0, 5, 0, 0
