Player,FromPlayer,Delta,New Total Weariness,Reason
1, 3, -50, 175, At War Decay
1, 3, 50, 225, Attacking
3, 1, 32, 96, Getting Attacked
3, 1, -50, 46, At War Decay
3, 1, 32, 78, Attacking
1, 3, 50, 275, Getting Attacked
1, 3, -50, 225, At War Decay
1, 3, 25, 250, Attacking
3, 1, 80, 158, Getting Attacked
3, 1, -50, 108, At War Decay
1, 3, -50, 200, At War Decay
3, 1, -50, 58, At War Decay
3, 1, 50, 108, Attacking
1, 3, 25, 225, Getting Attacked
1, 3, -50, 175, At War Decay
1, 3, 25, 200, Attacking
3, 1, 50, 158, Getting Attacked
1, 3, 25, 225, Attacking
3, 1, 125, 283, Getting Attacked
3, 1, -50, 233, At War Decay
3, 1, 50, 283, Attacking
1, 3, 25, 250, Getting Attacked
1, 3, -50, 200, At War Decay
1, 3, 50, 250, Attacking
3, 1, 50, 333, Getting Attacked
3, 1, -50, 283, At War Decay
1, 3, -50, 200, At War Decay
1, 3, 50, 250, Attacking
3, 1, 50, 333, Getting Attacked
3, 1, -50, 283, At War Decay
1, 3, -50, 200, At War Decay
1, 3, 50, 250, Attacking
3, 1, 125, 408, Getting Attacked
3, 1, -50, 358, At War Decay
3, 1, 50, 408, Attacking
1, 3, 25, 275, Getting Attacked
1, 3, -50, 225, At War Decay
1, 3, 50, 275, Attacking
3, 1, 50, 458, Getting Attacked
3, 1, -50, 408, At War Decay
1, 3, -50, 225, At War Decay
1, 3, 25, 250, Attacking
3, 1, 125, 533, Getting Attacked
3, 1, -50, 483, At War Decay
3, 1, -2000, 0, We Made Peace
1, 3, -2000, 0, They Made Peace
5, 5, 16, 16, Attacking
5, 5, 32, 48, Getting Attacked
