Game Turn, Range, Value, Seed, Type, Location
60, 4, 2, 1467545011, sync, GetNextBuyablePlot picker
60, 1, 0, 2496616304, sync, GetNextBuyablePlot picker
60, 12, 9, 2576124649, sync, Unit Combat Damage
60, 3, 2, 3428864878, sync, GetNextBuyablePlot picker
60, 6, 4, 3548592655, sync, GetNextBuyablePlot picker
60, 2, 1, 3240786588, sync, GetNextBuyablePlot picker
60, 1, 0, 2702830757, sync, Random Direction
60, 4, 1, 1791113338, sync, Random Direction
60, 6, 3, 1245931563, sync, Random Direction
60, 5, 1, 2763170952, sync, Random Direction
60, 8, 0, 1466019361, sync, Random Direction
60, 6, 3, 103506502, sync, Selecting a random new quest
60, 1, 0, 2693684231, sync, Choosing random tech type for Trigger Tech Boost quest
60, 2, 1, 2970714420, sync, GetNextBuyablePlot picker
60, 1, 0, 3691645789, sync, GetNextBuyablePlot picker
60, 12, 9, 648764626, sync, Unit Combat Damage
60, 12, 7, 3383407011, sync, Unit Combat Damage
60, 12, 1, 2799664288, sync, Unit Combat Damage
60, 1, 0, 685834329, sync, GetNextBuyablePlot picker
60, 1, 0, 3552474142, sync, GetNextBuyablePlot picker
60, 1, 0, 2628568319, sync, GetNextBuyablePlot picker
60, 1, 0, 1976550092, sync, GetNextBuyablePlot picker
60, 1, 0, 3969403157, sync, GetNextBuyablePlot picker
60, 1, 0, 4267291690, sync, GetNextBuyablePlot picker
60, 8, 7, 2744300059, sync, Choosing random tech boost to grant based on era, Player: 6
60, 5, 1, 4087103416, sync, Choosing random civic boost to grant based on era, Player: 6
60, 5, 2, 1430348177, sync, Selecting a random new quest
60, 7, 5, 2142693622, sync, Choosing random tech type for Trigger Tech Boost quest
60, 1, 0, 3223344375, sync, GetNextBuyablePlot picker
60, 1, 0, 363962212, sync, GetNextBuyablePlot picker
60, 2, 0, 109675981, sync, GetNextBuyablePlot picker
60, 1, 0, 954244738, sync, GetNextBuyablePlot picker
60, 12, 1, 1115376019, sync, Unit Combat Damage
60, 12, 2, 429608400, sync, Unit Combat Damage
60, 3, 1, 934654409, sync, GetNextBuyablePlot picker
60, 7, 5, 2667454670, sync, Random Direction
60, 7, 5, 3448171503, sync, Random Direction
60, 5, 3, 3358553852, sync, Random Direction
60, 4, 3, 3042877829, sync, Random Direction
60, 1, 0, 3227483098, sync, Random Direction
60, 6, 4, 620779531, sync, Random Direction
60, 4, 1, 3212510952, sync, Random Direction
60, 5, 2, 1122816257, sync, Random Direction
60, 1, 0, 2387180454, sync, GetNextBuyablePlot picker
60, 3, 1, 3243928039, sync, Random Direction
60, 7, 4, 1869457812, sync, Random Direction
60, 8, 7, 2547285053, sync, Random Direction
60, 7, 5, 4152470578, sync, Random Direction
60, 4, 0, 3310992771, sync, GetNextBuyablePlot picker
60, 6, 5, 893766400, sync, Random Direction
60, 5, 0, 4103184185, sync, Random Direction
60, 7, 4, 530209150, sync, Random Direction
60, 5, 3, 2976952031, sync, Random Direction
60, 11, 0, 3250362156, sync, Random Direction
60, 1, 0, 191100405, sync, GetNextBuyablePlot picker
60, 5, 4, 3204353930, sync, Random Direction
60, 8, 5, 4040907259, sync, Random Direction
60, 5, 3, 3052534296, sync, Random Direction
60, 7, 3, 3100310641, sync, Random Direction
60, 1, 0, 2008947286, sync, GetNextBuyablePlot picker
60, 6, 0, 477862615, sync, Random Direction
60, 7, 5, 588816324, sync, Random Direction
60, 1, 0, 3351375533, sync, GetNextBuyablePlot picker
60, 8, 4, 2870576610, sync, Random Direction
60, 11, 3, 2406813043, sync, Random Direction
60, 9, 6, 1491203120, sync, Random Direction
60, 8, 0, 3183200425, sync, Random Direction
60, 1, 0, 466492974, sync, GetNextBuyablePlot picker
60, 4, 0, 2844331471, sync, Random Direction
60, 5, 2, 782902108, sync, Random Direction
60, 7, 2, 1784628837, sync, Random Direction
60, 3, 2, 1763831610, sync, Random Direction
60, 8, 5, 3677534187, sync, Random Direction
60, 6, 4, 3009681736, sync, Random Direction
60, 1, 0, 3070419937, sync, GetNextBuyablePlot picker
60, 11, 3, 783271174, sync, Random Direction
60, 4, 3, 1468196807, sync, Random Direction
60, 10, 9, 4031087092, sync, Random Direction
60, 1, 0, 4058570013, sync, GetNextBuyablePlot picker
60, 7, 0, 1425222546, sync, Random Direction
60, 6, 0, 129775971, sync, Random Direction
60, 6, 3, 707971424, sync, Random Direction
60, 5, 4, 2436574745, sync, Random Direction
60, 1, 0, 3734269662, sync, GetNextBuyablePlot picker
60, 12, 9, 481233087, sync, Unit Combat Damage
60, 8, 1, 3454737292, sync, Random Direction
60, 8, 1, 700945109, sync, Random Direction
60, 1, 0, 1047829226, sync, GetNextBuyablePlot picker
60, 8, 7, 1507160539, sync, Random Direction
60, 8, 0, 4076102776, sync, Random Direction
60, 1, 0, 360417105, sync, GetNextBuyablePlot picker
60, 9, 8, 41515958, sync, Random Direction
60, 9, 1, 4130295991, sync, Random Direction
60, 6, 0, 558321700, sync, Selecting a random new quest
60, 9, 3, 94390157, sync, Random Direction
60, 2, 1, 1595514178, sync, GetNextBuyablePlot picker
60, 5, 3, 2933801299, sync, Random Direction
60, 9, 4, 3317385872, sync, Random Direction
60, 5, 4, 2094452617, sync, Random Direction
60, 8, 3, 3886566286, sync, Random Direction
60, 3, 1, 1736548271, sync, Random Direction
60, 5, 4, 2167570364, sync, Random Direction
60, 2, 0, 3973307205, sync, GetNextBuyablePlot picker
60, 7, 3, 2137100954, sync, Random Direction
60, 6, 1, 1951565771, sync, Random Direction
60, 8, 7, 1048959912, sync, Random Direction
60, 10, 3, 4091274945, sync, Random Direction
60, 7, 2, 1328954982, sync, Random Direction
60, 11, 8, 1778374055, sync, Random Direction
60, 1, 0, 3140553300, sync, GetNextBuyablePlot picker
60, 8, 2, 4127141373, sync, Random Direction
60, 8, 0, 1280826098, sync, Random Direction
60, 1, 0, 256517443, sync, GetNextBuyablePlot picker
60, 5, 0, 4005459904, sync, Random Direction
60, 5, 3, 236301561, sync, Random Direction
60, 6, 4, 2609165374, sync, Random Direction
60, 9, 4, 3428831903, sync, Random Direction
60, 2, 0, 2096320492, sync, GetNextBuyablePlot picker
60, 9, 7, 310058933, sync, Random Direction
60, 4, 2, 3709064778, sync, Random Direction
60, 7, 0, 3019438523, sync, Random Direction
60, 9, 1, 515604184, sync, Random Direction
60, 3, 0, 696975921, sync, GetNextBuyablePlot picker
60, 100, 0, 767626518, sync, Barbarian Ranged unit roll
60, 12, 8, 36927127, sync, Unit Combat Damage
60, 12, 1, 2916462724, sync, Unit Combat Damage
60, 12, 4, 702320749, sync, Unit Combat Damage
60, 12, 8, 1748559010, sync, Unit Combat Damage
60, 12, 2, 2905531699, sync, Unit Combat Damage
60, 4, 3, 1061114096, sync, Random Direction
60, 2, 1, 3258893929, sync, Random Direction
60, 3, 1, 4083460334, sync, Random Direction
60, 16, 7, 1667801487, sync, Random Direction
60, 4, 0, 2019593244, sync, Random Direction
60, 5, 0, 628383781, sync, Random Direction
60, 5, 0, 695625210, sync, Random Direction
60, 7, 0, 332908459, sync, Random Direction
60, 7, 4, 184045064, sync, Random Direction
60, 6, 0, 3048200609, sync, Random Direction
60, 4, 3, 599058374, sync, Random Direction
60, 5, 0, 3687396231, sync, Random Direction
60, 13, 11, 63455924, sync, Random Direction
60, 3, 1, 3956240093, sync, Random Direction
60, 5, 4, 1996995154, sync, Random Direction
60, 7, 2, 4135289123, sync, Random Direction
60, 13, 6, 1476449824, sync, Random Direction
60, 11, 1, 1985551321, sync, Random Direction
61, 1, 0, 759376286, sync, GetNextBuyablePlot picker
61, 4, 3, 175836287, sync, GetNextBuyablePlot picker
61, 1, 0, 3714921548, sync, GetNextBuyablePlot picker
61, 12, 0, 1278647445, sync, Unit Combat Damage
61, 3, 2, 120865194, sync, GetNextBuyablePlot picker
61, 6, 3, 4038979995, sync, GetNextBuyablePlot picker
61, 2, 0, 2573158712, sync, GetNextBuyablePlot picker
61, 2, 1, 791768337, sync, GetNextBuyablePlot picker
61, 1, 0, 3547123318, sync, GetNextBuyablePlot picker
61, 3, 0, 3514829943, sync, GetNextBuyablePlot picker
61, 1, 0, 308003044, sync, GetNextBuyablePlot picker
61, 7, 2, 3660499277, sync, Random Diplomatic Value
61, 7, 1, 1708088322, sync, Random Diplomatic Value
61, 6, 0, 853473555, sync, Selecting a random new quest
61, 36, 30, 277219152, sync, Choosing a Citizen Name
61, 1, 0, 3609963849, sync, GetNextBuyablePlot picker
61, 1, 0, 2077963854, sync, GetNextBuyablePlot picker
61, 1, 0, 1429607279, sync, GetNextBuyablePlot picker
61, 1, 0, 4174137468, sync, GetNextBuyablePlot picker
61, 1, 0, 3103315205, sync, GetNextBuyablePlot picker
61, 2, 1, 2578999642, sync, GetNextBuyablePlot picker
61, 1, 0, 4181358475, sync, GetNextBuyablePlot picker
61, 12, 2, 2933092456, sync, Unit Combat Damage
61, 12, 8, 884391041, sync, Unit Combat Damage
61, 3, 1, 2885927206, sync, GetNextBuyablePlot picker
61, 7, 4, 1809252711, sync, Random Direction
61, 8, 2, 2846042900, sync, Random Direction
61, 5, 4, 1460772797, sync, Random Direction
61, 4, 1, 4200253874, sync, Random Direction
61, 3, 1, 1942506755, sync, Random Direction
61, 8, 6, 2802967680, sync, Random Direction
61, 6, 4, 3510467257, sync, Random Direction
61, 4, 1, 3064450814, sync, Random Direction
61, 1, 0, 2096674399, sync, GetNextBuyablePlot picker
61, 5, 0, 703645868, sync, Random Direction
61, 9, 1, 431098229, sync, Random Direction
61, 4, 0, 892198154, sync, Random Direction
61, 5, 3, 496785787, sync, Random Direction
61, 4, 3, 2935473048, sync, GetNextBuyablePlot picker
61, 11, 6, 3701917681, sync, Random Direction
61, 8, 6, 2572468182, sync, Random Direction
61, 5, 1, 3507294807, sync, Random Direction
61, 7, 6, 1148289348, sync, Random Direction
61, 13, 6, 4165923373, sync, Random Direction
61, 1, 0, 2201289570, sync, GetNextBuyablePlot picker
61, 2, 1, 2221309171, sync, Random Direction
61, 10, 0, 4037504432, sync, Random Direction
61, 6, 0, 13993001, sync, Random Direction
61, 4, 1, 165933998, sync, Random Direction
61, 1, 0, 1356985679, sync, GetNextBuyablePlot picker
61, 7, 0, 319665372, sync, Random Direction
61, 4, 0, 135870949, sync, Random Direction
61, 1, 0, 243244218, sync, GetNextBuyablePlot picker
61, 10, 6, 2146604907, sync, Random Direction
61, 11, 1, 2888778440, sync, Random Direction
61, 9, 6, 623415137, sync, Random Direction
61, 9, 6, 3019557510, sync, Random Direction
61, 1, 0, 3038854983, sync, GetNextBuyablePlot picker
61, 5, 4, 945406836, sync, Random Direction
61, 9, 4, 4152213661, sync, Random Direction
61, 8, 6, 2276002066, sync, Random Direction
61, 5, 2, 3651700963, sync, Random Direction
61, 6, 0, 2299110112, sync, Random Direction
61, 4, 2, 570083737, sync, Random Direction
61, 7, 1, 2794103902, sync, Random Direction
61, 1, 0, 634441791, sync, GetNextBuyablePlot picker
61, 12, 5, 3373665548, sync, Unit Combat Damage
61, 12, 11, 2040882773, sync, Random Direction
61, 9, 3, 3948456042, sync, Random Direction
61, 2, 1, 1678520667, sync, Random Direction
61, 1, 0, 2543644152, sync, GetNextBuyablePlot picker
61, 9, 8, 1680020177, sync, Random Direction
61, 8, 2, 4048609590, sync, Random Direction
61, 5, 4, 1238534199, sync, Random Direction
61, 5, 3, 3853447588, sync, Random Direction
61, 1, 0, 2717190925, sync, GetNextBuyablePlot picker
61, 8, 4, 2009193154, sync, Random Direction
61, 8, 0, 2185064659, sync, Random Direction
61, 1, 0, 45843472, sync, GetNextBuyablePlot picker
61, 12, 5, 2155105033, sync, Unit Combat Damage
61, 12, 9, 1918296334, sync, Unit Combat Damage
61, 11, 0, 3328460591, sync, Random Direction
61, 1, 0, 62705980, sync, GetNextBuyablePlot picker
61, 5, 4, 797806277, sync, Random Direction
61, 8, 0, 3525574682, sync, Random Direction
61, 20, 8, 527968075, sync, Random Direction
61, 2, 1, 1898169640, sync, GetNextBuyablePlot picker
61, 5, 4, 3074249281, sync, Random Direction
61, 8, 1, 3547464678, sync, Random Direction
61, 7, 6, 782232871, sync, Random Direction
61, 8, 6, 3884190676, sync, Random Direction
61, 9, 3, 3368800637, sync, Random Direction
61, 6, 0, 1548384370, sync, Random Direction
61, 2, 0, 378811587, sync, GetNextBuyablePlot picker
61, 11, 4, 385880384, sync, Random Direction
61, 8, 5, 1741228153, sync, Random Direction
61, 7, 2, 3083053502, sync, Random Direction
61, 10, 3, 1660639775, sync, Random Direction
61, 9, 1, 1299513708, sync, Random Direction
61, 11, 7, 650687285, sync, Random Direction
61, 1, 0, 3121390538, sync, GetNextBuyablePlot picker
61, 12, 5, 159742267, sync, Unit Combat Damage
61, 12, 5, 2003224664, sync, Unit Combat Damage
61, 10, 0, 1943948721, sync, Random Direction
61, 6, 2, 423178902, sync, Random Direction
61, 1, 0, 1623748119, sync, GetNextBuyablePlot picker
61, 5, 0, 1135350276, sync, Random Direction
61, 10, 5, 819532781, sync, Random Direction
61, 6, 3, 2261639714, sync, Random Direction
61, 6, 5, 2832979123, sync, Random Direction
61, 9, 5, 3587852912, sync, Random Direction
61, 2, 1, 2470445545, sync, GetNextBuyablePlot picker
61, 9, 4, 3591110254, sync, Random Direction
61, 8, 1, 2176125199, sync, Random Direction
61, 4, 0, 863083932, sync, Random Direction
61, 6, 1, 135123877, sync, Random Direction
61, 6, 2, 989696890, sync, Random Direction
61, 3, 1, 1799563051, sync, GetNextBuyablePlot picker
61, 100, 59, 1472788360, sync, Barbarian Ranged unit roll
61, 12, 5, 2536310049, sync, Unit Combat Damage
61, 12, 2, 1849781574, sync, Unit Combat Damage
61, 12, 7, 726338311, sync, Unit Combat Damage
